,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,"4,395","4,513","4,570","4,672","4,734","4,795","5,068","5,219","5,364","5,740","5,930","6,104","6,303","6,613","6,503","6,578","6,330","6,347","6,651","6,724","6,384"
Uruguay,0,0,36,62,70,77,89,96,108,101,125,129,92,93,92,85,85,98,104,102,66
Uzbekistan,,,,,,,898,"1,693","3,007","2,071","2,858","4,276","5,693","6,689","5,653","3,062","2,462","3,374","3,689","4,150","3,320"
Vanuatu,14,18,4,4,5,5,5,6,9,11,12,22,22,24,64,104,81,26,35,35,34
"Venezuela, RB",17,19,19,208,143,148,165,151,137,132,143,138,118,120,128,161,279,279,279,279,279
Vietnam,"1,340","1,100","1,770","2,100","2,310","3,150","3,800","6,180","6,805","6,020","8,260","8,600","10,000","11,000","12,000","13,000","14,000","15,000","16,000","17,000","15,686"
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,, 
West Bank and Gaza,864,806,772,310,399,378,464,599,741,755,927,"1,142","1,737","1,489","1,805","1,817","2,087","2,379","2,834","2,861","2,289"
"Yemen, Rep.","1,290","1,300","1,290","1,270","1,280","1,283","1,283","1,322","1,411","1,160","1,526","1,404","3,351","3,343","3,351","3,351","3,771","3,771","3,771","3,771","3,771"
Zambia,0,0,0,36,48,53,58,59,68,41,44,46,73,54,58,47,38,94,107,98,91
Zimbabwe,0,0,0,0,0,0,0,0,0,"1,206","1,413","1,919","2,114","1,890","1,904","2,047","1,856","1,730","1,730","1,730","1,730"
