Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Refugees,Internally Displaced Persons,Asylum-seekers,Others of Concern to UNHCR,Stateless Persons,Venezuelans Displaced Abroad
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#affected+refugees,#affected+idps,#affected+asylum_seekers,#affected+others,#affected+stateless,#affected+vda
2006,NPL,IDN,Nepal,Indonesia,0,0,5,0,0,0
2006,NPL,IRL,Nepal,Ireland,5,0,9,0,0,0
2006,NPL,ISR,Nepal,Israel,0,0,6,0,0,0
2006,NPL,JPN,Nepal,Japan,0,0,10,0,0,0
2006,NPL,KOR,Nepal,Republic of Korea,0,0,86,0,0,0
2006,NPL,MEX,Nepal,Mexico,5,0,0,0,0,0
2006,NPL,MYS,Nepal,Malaysia,17,0,287,0,0,0
2006,NPL,NPL,Nepal,Nepal,0,100000,0,0,0,0
2006,NPL,NLD,Nepal,Netherlands,105,0,110,0,0,0
2006,NPL,NOR,Nepal,Norway,18,0,106,0,0,0
2006,NPL,NZL,Nepal,New Zealand,18,0,5,0,0,0
2006,NPL,POL,Nepal,Poland,5,0,5,0,0,0
2006,NPL,ESP,Nepal,Spain,5,0,0,0,0,0
2006,NPL,SWE,Nepal,Sweden,17,0,15,0,0,0
2006,NPL,CHE,Nepal,Switzerland,5,0,6,0,0,0
2006,NPL,THA,Nepal,Thailand,67,0,45,0,0,0
2006,NPL,USA,Nepal,United States of America,1518,0,568,0,0,0
2007,NPL,AUS,Nepal,Australia,100,0,24,0,0,0
2007,NPL,AUT,Nepal,Austria,13,0,167,0,0,0
2007,NPL,BEL,Nepal,Belgium,31,0,0,0,0,0
2007,NPL,CAN,Nepal,Canada,513,0,161,0,0,0
2007,NPL,CYP,Nepal,Cyprus,0,0,249,0,0,0
2007,NPL,ECU,Nepal,Ecuador,0,0,12,0,0,0
2007,NPL,FIN,Nepal,Finland,7,0,0,0,0,0
2007,NPL,FRA,Nepal,France,36,0,0,0,0,0
2007,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,153,0,0,0,0,0
2007,NPL,DEU,Nepal,Germany,248,0,55,0,0,0
2007,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",6,0,198,0,0,0
2007,NPL,HUN,Nepal,Hungary,15,0,0,0,0,0
2007,NPL,IRL,Nepal,Ireland,5,0,8,0,0,0
2007,NPL,ISR,Nepal,Israel,0,0,10,0,0,0
2007,NPL,ITA,Nepal,Italy,5,0,0,0,0,0
2007,NPL,JPN,Nepal,Japan,0,0,5,0,0,0
2007,NPL,KOR,Nepal,Republic of Korea,0,0,347,0,0,0
