Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Procedure Type,Procedure Name,Application Type Code,Application Type,Application Data Type,Application Data,Application Average Persons Per Case,Number of Applications,,
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+procedure_type,#indicator+procedure+name,#indicator+application_type+code,#indicator+application_type,#indicator+application_data_type,#indicator+application_data,#indicator+application_average_persons+num,#inneed+asylum_seekers+applications,,
2006,NPL,NLD,Nepal,Netherlands,G,Government,N,New,P,Persons,0,58,,
2006,NPL,NOR,Nepal,Norway,G,Government,A,Appeal,P,Persons,0,113,,
2006,NPL,NOR,Nepal,Norway,G,Government,N,New,P,Persons,0,60,,
2006,NPL,NZL,Nepal,New Zealand,G,Government,A,Appeal,P,Persons,0,10,,
2006,NPL,NZL,Nepal,New Zealand,G,Government,N,New,P,Persons,0,5,,
2006,NPL,POL,Nepal,Poland,G,Government,A,Appeal,P,Persons,0,9,,
2006,NPL,POL,Nepal,Poland,G,Government,N,New,P,Persons,1.5,14,,
2006,NPL,PRT,Nepal,Portugal,G,Government,N,New,P,Persons,0,6,,
2006,NPL,ZAF,Nepal,South Africa,G,Government,N,New,P,Persons,0,5,,
2006,NPL,ESP,Nepal,Spain,G,Government,N,New,P,Persons,0,14,,
2006,NPL,SVK,Nepal,Slovakia,G,Government,N,New,P,Persons,0,5,,
2006,NPL,SWE,Nepal,Sweden,G,Government,N,New,P,Persons,0,15,,
2006,NPL,CHE,Nepal,Switzerland,G,Government,N,New,P,Persons,0,46,,
2006,NPL,THA,Nepal,Thailand,U,UNHCR,A,Appeal,P,Persons,1.7,20,,
2006,NPL,THA,Nepal,Thailand,U,UNHCR,N,New,P,Persons,1.7,54,,
2006,NPL,USA,Nepal,United States of America,G,Government,N,New,P,Persons,0,43,,
2006,NPL,USA,Nepal,United States of America,G,Government,N,New,C,Cases,0,451,,
2007,NPL,ALB,Nepal,Albania,G,Government,A,Appeal,P,Persons,1.6,9,,
2007,NPL,AUS,Nepal,Australia,G,Government,A,Appeal,C,Cases,0,48,,
2007,NPL,AUS,Nepal,Australia,G,Government,N,New,P,Persons,0,48,,
2007,NPL,AUT,Nepal,Austria,G,Government,N,New,P,Persons,0,43,,
2007,NPL,BEL,Nepal,Belgium,G,Government,N,New,P,Persons,0,41,,
2007,NPL,KHM,Nepal,Cambodia,U,UNHCR,N,New,P,Persons,1.3,5,,
2007,NPL,CAN,Nepal,Canada,G,Government,N,New,P,Persons,0,121,,
2007,NPL,CYP,Nepal,Cyprus,G,Government,A,Appeal,P,Persons,0,19,,
2007,NPL,CYP,Nepal,Cyprus,G,Government,N,New,P,Persons,0,79,,
2007,NPL,DNK,Nepal,Denmark,G,Government,N,New,P,Persons,0,5,,
2007,NPL,ECU,Nepal,Ecuador,G,Government,NA,New and appeal,P,Persons,2,8,,
2007,NPL,FIN,Nepal,Finland,G,Government,N,New,P,Persons,0,5,,
2007,NPL,FRA,Nepal,France,G,Government,N,New,P,Persons,0,24,,
2007,NPL,GBR,Nepal,United Kingdom of Great Britain and Northern Ireland,G,Government,N,New,P,Persons,0,25,,
2007,NPL,DEU,Nepal,Germany,G,Government,N,New,P,Persons,0,20,,
2007,NPL,DEU,Nepal,Germany,G,Government,R,Repeat,P,Persons,0,13,,
2007,NPL,GRC,Nepal,Greece,G,Government,N,New,P,Persons,0,5,,
2007,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",U,UNHCR,A,Appeal,P,Persons,1,128,,
2007,NPL,HKG,Nepal,"China, Hong Kong Special Administrative Region",U,UNHCR,N,New,P,Persons,1,154,,
2007,NPL,IDN,Nepal,Indonesia,U,UNHCR,A,Appeal,P,Persons,1.3,13,,
